time,price,action,position,reward,equity_after
2024-04-18 00:00:00+00:00,491.7884216308594,1.0,1.0,-0.0030576118733733892,0.9969423880577087
2024-04-19 00:00:00+00:00,487.4958801269531,0.0,0.0,-0.0010000000474974513,0.995945445669651
2024-04-22 00:00:00+00:00,491.98529052734375,1.0,1.0,0.00820915587246418,1.0041213172368724
2024-04-23 00:00:00+00:00,497.823486328125,0.0,0.0,-0.0010000000474974513,1.0031171959196354
2024-04-24 00:00:00+00:00,497.5871887207031,1.0,1.0,-0.0014746318338438869,1.0016379674171016
2024-04-25 00:00:00+00:00,495.6969299316406,0.0,0.0,-0.0010000000474974513,1.0006363294496845
2024-04-26 00:00:00+00:00,500.39312744140625,0.0,0.0,0.0,1.0006363294496845
2024-04-29 00:00:00+00:00,502.165283203125,1.0,1.0,0.00254146964289248,1.0031794162355947
2024-04-30 00:00:00+00:00,494.2102966308594,0.0,0.0,-0.0010000000474974513,1.0021762368193592
2024-05-01 00:00:00+00:00,492.6055603027344,0.0,0.0,-0.0,1.0021762368193592
2024-05-02 00:00:00+00:00,497.21307373046875,1.0,1.0,0.008353399112820625,1.0105478150711655
2024-05-03 00:00:00+00:00,503.376220703125,1.0,1.0,0.012395381927490234,1.0230739411949634
2024-05-06 00:00:00+00:00,508.57452392578125,1.0,1.0,0.010326862335205078,1.0336390849444195
2024-05-07 00:00:00+00:00,509.13568115234375,1.0,1.0,0.0011034011840820312,1.0347796035346606
2024-05-08 00:00:00+00:00,509.1849060058594,1.0,1.0,9.66787338256836e-05,1.034879644716519
2024-05-09 00:00:00+00:00,512.1187744140625,0.0,0.0,-0.0010000000474974513,1.0338447650718023
2024-05-10 00:00:00+00:00,512.7783813476562,1.0,1.0,0.00028793717501685023,1.0341424474017904
2024-05-13 00:00:00+00:00,512.8472900390625,0.0,0.0,-0.0010000000474974513,1.0331083049543885
2024-05-14 00:00:00+00:00,515.2003173828125,0.0,0.0,0.0,1.0331083049543885
2024-05-15 00:00:00+00:00,521.5800170898438,1.0,1.0,0.01138298399746418,1.0448681604266714
2024-05-16 00:00:00+00:00,520.5068359375,1.0,1.0,-0.0020575523376464844,1.042718289500653
2024-05-17 00:00:00+00:00,521.255126953125,1.0,1.0,0.0014376640319824219,1.0442173680809583
2024-05-20 00:00:00+00:00,521.8557739257812,1.0,1.0,0.0011522769927978516,1.045420595729678
2024-05-21 00:00:00+00:00,523.1356201171875,1.0,1.0,0.0024524927139282227,1.0479844821236957
2024-05-22 00:00:00+00:00,521.6293334960938,1.0,1.0,-0.002879321575164795,1.044966997793879
2024-05-23 00:00:00+00:00,517.8191528320312,1.0,1.0,-0.007304370403289795,1.0373341717827786
2024-05-24 00:00:00+00:00,521.2453002929688,0.0,0.0,-0.0010000000474974513,1.0362968376109958
2024-05-28 00:00:00+00:00,521.6095581054688,1.0,1.0,-0.0003011951339431107,1.0359847100350879
2024-05-29 00:00:00+00:00,517.9569091796875,0.0,0.0,-0.0010000000474974513,1.0349487253250527
2024-05-30 00:00:00+00:00,514.52099609375,0.0,0.0,-0.0,1.0349487253250527
2024-05-31 00:00:00+00:00,519.207275390625,1.0,1.0,0.008108066394925117,1.0433401584749726
2024-06-03 00:00:00+00:00,519.6306762695312,1.0,1.0,0.0008155107498168945,1.0441910135899246
2024-06-04 00:00:00+00:00,520.2115478515625,0.0,0.0,-0.0010000000474974513,1.0431468225763347
2024-06-05 00:00:00+00:00,526.394287109375,0.0,0.0,0.0,1.0431468225763347
2024-06-06 00:00:00+00:00,526.3844604492188,1.0,1.0,-0.0010186563013121486,1.0420842145418705
2024-06-07 00:00:00+00:00,525.7445678710938,0.0,0.0,-0.0010000000474974513,1.0410421303273287
2024-06-10 00:00:00+00:00,527.3689575195312,0.0,0.0,0.0,1.0410421303273287
