entry_time,exit_time,entry_price,exit_price,gross_return,net_return
2015-03-17 00:00:00+00:00,2015-04-08 00:00:00+00:00,173.68101501464844,174.47303771972656,0.004560214626862402,0.002560214626862402
2015-04-13 00:00:00+00:00,2015-06-15 00:00:00+00:00,175.40420532226562,175.42098999023438,9.569136576814685e-05,-0.0019043086342318532
2015-06-23 00:00:00+00:00,2015-07-01 00:00:00+00:00,178.74415588378906,174.9170379638672,-0.02141114992542792,-0.02341114992542792
2015-07-23 00:00:00+00:00,2015-08-07 00:00:00+00:00,177.17630004882812,175.29644775390625,-0.010610066326048107,-0.012610066326048107
2015-08-11 00:00:00+00:00,2015-08-17 00:00:00+00:00,175.9033660888672,177.5219268798828,0.009201420228638124,0.007201420228638124
2015-10-15 00:00:00+00:00,2015-12-16 00:00:00+00:00,171.46261596679688,176.27557373046875,0.028070012442851677,0.026070012442851676
2016-03-02 00:00:00+00:00,2016-05-23 00:00:00+00:00,169.6275177001953,175.82310485839844,0.036524658511795094,0.03452465851179509
2016-05-31 00:00:00+00:00,2016-06-28 00:00:00+00:00,179.79005432128906,175.00631713867188,-0.02660735156166394,-0.02860735156166394
2016-07-08 00:00:00+00:00,2016-09-15 00:00:00+00:00,183.14512634277344,185.4102325439453,0.012367821336028983,0.010367821336028983
2016-11-17 00:00:00+00:00,2017-04-19 00:00:00+00:00,189.55819702148438,204.14138793945312,0.07693252598470268,0.07493252598470268
2017-04-28 00:00:00+00:00,2017-08-24 00:00:00+00:00,208.19908142089844,214.4077911376953,0.02982102358196892,0.027821023581968918
2017-09-05 00:00:00+00:00,2018-02-13 00:00:00+00:00,216.22682189941406,236.11004638671875,0.09195540272313729,0.08995540272313729
2018-03-16 00:00:00+00:00,2018-03-23 00:00:00+00:00,244.3634033203125,229.97067260742188,-0.05889887977220787,-0.06089887977220787
2018-05-15 00:00:00+00:00,2018-10-15 00:00:00+00:00,241.60072326660156,246.75160217285156,0.021319799198473932,0.01931979919847393
2019-01-24 00:00:00+00:00,2019-05-21 00:00:00+00:00,238.37887573242188,260.2875061035156,0.091906761049104,0.089906761049104
2019-06-19 00:00:00+00:00,2019-08-13 00:00:00+00:00,266.2380065917969,267.0672607421875,0.0031147098831085795,0.0011147098831085795
2019-09-12 00:00:00+00:00,2019-10-15 00:00:00+00:00,275.04595947265625,274.10589599609375,-0.0034178414340820806,-0.005417841434082081
2019-10-16 00:00:00+00:00,2020-03-02 00:00:00+00:00,273.66571044921875,284.86334228515625,0.04091718987211346,0.038917189872113456
2020-04-27 00:00:00+00:00,2020-09-24 00:00:00+00:00,266.1064453125,302.4224853515625,0.13647185432286335,0.13447185432286335
2020-10-12 00:00:00+00:00,2020-11-02 00:00:00+00:00,329.4676208496094,308.68597412109375,-0.06307644640443055,-0.06507644640443055
2020-11-11 00:00:00+00:00,2021-09-24 00:00:00+00:00,333.4313659667969,420.8328857421875,0.26212746818814314,0.26012746818814314
2021-10-22 00:00:00+00:00,2022-01-20 00:00:00+00:00,429.5641784667969,425.01324462890625,-0.01059430480012058,-0.01259430480012058
2022-03-28 00:00:00+00:00,2022-04-26 00:00:00+00:00,435.07501220703125,397.0843505859375,-0.08731979671362011,-0.08931979671362011
2022-07-28 00:00:00+00:00,2022-09-08 00:00:00+00:00,389.1866149902344,383.7331237792969,-0.014012535377339042,-0.016012535377339043
2022-11-04 00:00:00+00:00,2022-12-28 00:00:00+00:00,362.1840515136719,364.1468505859375,0.005419341531087696,0.0034193415310876957
2023-01-19 00:00:00+00:00,2023-03-10 00:00:00+00:00,375.7288818359375,373.089599609375,-0.007024432653848889,-0.009024432653848889
2023-04-05 00:00:00+00:00,2023-08-22 00:00:00+00:00,395.56292724609375,426.79022216796875,0.0789439372877514,0.0769439372877514
2023-09-11 00:00:00+00:00,2023-09-18 00:00:00+00:00,436.82318115234375,433.6524353027344,-0.007258648319086292,-0.009258648319086292
2023-11-14 00:00:00+00:00,2024-04-22 00:00:00+00:00,438.6377258300781,491.98529052734375,0.1216210133232627,0.11962101332326269
2024-05-14 00:00:00+00:00,2024-08-06 00:00:00+00:00,515.2002563476562,515.7266235351562,0.0010216749332221386,-0.0009783250667778614
2024-08-22 00:00:00+00:00,2025-01-03 00:00:00+00:00,549.37744140625,588.43505859375,0.07109432285301631,0.06909432285301631
2025-01-06 00:00:00+00:00,2025-01-10 00:00:00+00:00,591.8248291015625,577.0430297851562,-0.024976646111394496,-0.026976646111394498
2025-01-28 00:00:00+00:00,2025-03-05 00:00:00+00:00,600.930419921875,579.5978393554688,-0.03549925225815598,-0.03749925225815598
